Topic,Subtopic,Sub2topic,Sub3topic
History of Mathematics,Key Developments,China,Chinese scholars influenced later Islamic and European mathematical traditions through trade and cultural exchange
History of Mathematics,Key Developments,China,The calendar reforms in ancient China used advanced mathematical calculations
History of Mathematics,Key Developments,India,Indian mathematicians developed the decimal place-value system
History of Mathematics,Key Developments,India,Brahmagupta introduced rules for operations with zero and negative numbers
History of Mathematics,Key Developments,India,"The concept of ""Shunya"" (zero) originated in Indian mathematics"
History of Mathematics,Key Developments,India,Aryabhata introduced trigonometric functions such as sine and versine
History of Mathematics,Key Developments,India,Indian mathematicians used Sanskrit numerals which evolved into modern Hindu-Arabic numerals
History of Mathematics,Key Developments,India,Bhaskara II provided early explanations of calculus-like concepts
History of Mathematics,Key Developments,India,The Bakhshali manuscript contains one of the oldest known uses of a dot to represent zero
History of Mathematics,Key Developments,India,Indian scholars contributed to the understanding of infinite series expansions
History of Mathematics,Key Developments,India,The Surya Siddhanta contained advanced astronomical calculations using trigonometry
History of Mathematics,Key Developments,India,Indian mathematicians developed rules for solving quadratic equations
History of Mathematics,Key Developments,India,"The concept of ""Katapayadi"" was a numeral system used for encoding numbers in Sanskrit verses"
History of Mathematics,Key Developments,India,Madhava of Sangamagrama discovered the infinite series for sine and cosine functions
History of Mathematics,Key Developments,India,Indian mathematicians worked on approximations of pi long before European counterparts
History of Mathematics,Key Developments,India,The Kerala School of Mathematics made significant advances in calculus centuries before Newton and Leibniz
History of Mathematics,Key Developments,India,The use of large numbers in Indian texts predates similar concepts in other civilizations
History of Mathematics,Key Developments,India,Indian mathematicians provided an early explanation for the Pythagorean theorem
History of Mathematics,Key Developments,India,Brahmagupta’s formula provided methods to calculate cyclic quadrilateral area
History of Mathematics,Key Developments,India,Indian astronomers used advanced mathematics to predict planetary movements
History of Mathematics,Key Developments,India,"Bhaskara II’s ""Lilavati"" was a major mathematical text covering arithmetic and algebra"
History of Mathematics,Key Developments,India,The Chakravala method was an early and efficient algorithm for solving Pell’s equation
History of Mathematics,Key Developments,India,The use of indeterminate equations was explored extensively in Indian mathematics
History of Mathematics,Key Developments,India,Indian mathematical texts were translated into Arabic influencing Islamic and European mathematics
History of Mathematics,Key Developments,India,Madhava developed a series expansion for arctan(x). later rediscovered by European mathematicians
History of Mathematics,Key Developments,India,The Kerala mathematicians anticipated ideas related to differentiation and integration
History of Mathematics,Key Developments,India,Indian mathematics played a key role in the development of combinatorial methods
History of Mathematics,Key Developments,India,Concepts of infinity and limits were explored in early Indian texts
History of Mathematics,Key Developments,India,The earliest recorded use of algebraic symbols was found in Indian texts
History of Mathematics,Key Developments,India,Indian mathematics was closely linked to astronomy. leading to accurate timekeeping and calendars
History of Mathematics,Key Developments,India,Trigonometric tables were developed in India and later refined by Islamic mathematicians
History of Mathematics,Key Developments,India,The Indian numeral system. including zero. revolutionized global mathematics
History of Mathematics,Key Developments,Golden Age of Islam,Mathematicians in the Islamic world preserved and translated Greek Indian and Persian mathematical texts into Arabic
History of Mathematics,Key Developments,Golden Age of Islam,Al-Khwarizmi introduced the foundational concepts of algebra which later influenced European mathematics
History of Mathematics,Key Developments,Golden Age of Islam,The term algorithm is derived from Al-Khwarizmi’s name due to his contributions to computational methods
History of Mathematics,Key Developments,Golden Age of Islam,Islamic scholars refined the Hindu-Arabic numeral system making calculations more efficient
History of Mathematics,Key Developments,Golden Age of Islam,Al-Khwarizmi’s book Al-Kitab al-Mukhtasar fi Hisab al-Jabr wal-Muqabala laid the foundation for systematic algebraic solutions
History of Mathematics,Key Developments,Golden Age of Islam,Thābit ibn Qurra translated and expanded upon Greek mathematical works contributing to number theory
History of Mathematics,Key Developments,Golden Age of Islam,Omar Khayyam developed a geometric method to solve cubic equations influencing later algebraic studies
History of Mathematics,Key Developments,Golden Age of Islam,Islamic mathematicians introduced decimal fractions and their applications in arithmetic
History of Mathematics,Key Developments,Golden Age of Islam,Al-Samawal further developed algebraic notation and polynomial division
History of Mathematics,Key Developments,Golden Age of Islam,The House of Wisdom in Baghdad became a major center for mathematical research and learning
History of Mathematics,Key Developments,Golden Age of Islam,Al-Battani refined trigonometric calculations improving sine cosine and tangent functions
History of Mathematics,Key Developments,Golden Age of Islam,The Islamic world preserved and enhanced Ptolemy’s Almagest contributing to spherical trigonometry
History of Mathematics,Key Developments,Golden Age of Islam,Abu Kamil extended algebraic methods to work with irrational numbers and polynomials
History of Mathematics,Key Developments,Golden Age of Islam,Mathematicians during this era made significant advancements in the study of conic sections
History of Mathematics,Key Developments,Golden Age of Islam,The development of magic squares and their mathematical properties became a focus of Islamic scholars
History of Mathematics,Key Developments,Golden Age of Islam,Islamic mathematicians calculated more accurate values for pi and worked on approximations
History of Mathematics,Key Developments,Golden Age of Islam,Al-Kashi developed methods for computing square and cube roots with high precision
History of Mathematics,Key Developments,Golden Age of Islam,The concept of algebraic balancing Al-Jabr was introduced and became a fundamental algebraic principle
History of Mathematics,Key Developments,Golden Age of Islam,The trigonometric functions used today were systematically recorded and refined by Islamic scholars
History of Mathematics,Key Developments,Golden Age of Islam,The study of permutations and combinations was explored in Islamic mathematical texts
History of Mathematics,Key Developments,Golden Age of Islam,Astronomical observations in the Islamic world required advanced mathematical models and calculations
History of Mathematics,Key Developments,Golden Age of Islam,The development of spherical geometry helped improve navigation techniques
History of Mathematics,Key Developments,Golden Age of Islam,Islamic mathematicians contributed to early calculus concepts such as infinite series and limits
History of Mathematics,Key Developments,Golden Age of Islam,They established mathematical methods for solving quadratic and cubic equations systematically
History of Mathematics,Key Developments,Golden Age of Islam,Mathematics was applied to Islamic art architecture and calligraphy influencing geometric patterns
History of Mathematics,Key Developments,Golden Age of Islam,The works of Islamic mathematicians were later translated into Latin significantly influencing the European Renaissance
History of Mathematics,Key Developments,Golden Age of Islam,The concept of proof and rigorous mathematical reasoning was emphasized in Islamic mathematical texts
History of Mathematics,Key Developments,Golden Age of Islam,Advances in optics and mathematical models for light refraction were made using geometric principles
History of Mathematics,Key Developments,Golden Age of Islam,The classification of numbers into real rational and irrational was further developed during this era
History of Mathematics,Key Developments,Golden Age of Islam,Islamic scholars created extensive mathematical tables for astronomy and engineering applications
History of Mathematics,Key Developments,Renaissance,European scholars revived ancient Greek and Islamic mathematical texts through Latin translations
History of Mathematics,Key Developments,Renaissance,The spread of printing technology allowed mathematical knowledge to be widely disseminated
History of Mathematics,Key Developments,Renaissance,Leonardo da Vinci used mathematical principles in his artistic and scientific works
History of Mathematics,Key Developments,Renaissance,Francesco Maurolico contributed to number theory and geometric studies
History of Mathematics,Key Developments,Renaissance,The introduction of symbolic algebra notation helped simplify complex calculations
History of Mathematics,Key Developments,Renaissance,Trigonometry became more advanced with the study of sine and cosine laws for navigation
History of Mathematics,Key Developments,Renaissance,Niccolò Tartaglia developed formulas for solving cubic equations
History of Mathematics,Key Developments,Renaissance,Gerolamo Cardano published the first general solution to cubic equations in his book Ars Magna
History of Mathematics,Key Developments,Renaissance,The use of perspective geometry transformed Renaissance art and architecture
History of Mathematics,Key Developments,Renaissance,Simon Stevin introduced the decimal system to European mathematics
History of Mathematics,Key Developments,Renaissance,Logarithms were invented by John Napier to simplify complex multiplications
History of Mathematics,Key Developments,Renaissance,The concept of mathematical rigor began to take shape with more structured proofs
History of Mathematics,Key Developments,Renaissance,The application of mathematics in mechanics advanced engineering and physics
History of Mathematics,Key Developments,Renaissance,François Viète developed a system of algebraic notation that influenced modern algebra
History of Mathematics,Key Developments,Renaissance,Kepler’s laws of planetary motion were formulated using mathematical principles
History of Mathematics,Key Developments,Renaissance,The study of probability theory began with mathematical games of chance
History of Mathematics,Key Developments,Renaissance,René Descartes developed Cartesian coordinates which unified algebra and geometry
History of Mathematics,Key Developments,Renaissance,Galileo Galilei used mathematics to describe motion and acceleration in physics
History of Mathematics,Key Developments,Renaissance,The Renaissance saw the establishment of mathematical societies for scholarly collaboration
History of Mathematics,Key Developments,Renaissance,The concept of imaginary numbers was introduced to handle solutions to negative square roots
History of Mathematics,Key Developments,Renaissance,Marin Mersenne studied prime numbers and their properties
History of Mathematics,Key Developments,Renaissance,The use of mathematical models in astronomy led to the rejection of the geocentric model
History of Mathematics,Key Developments,Renaissance,Pierre de Fermat laid the groundwork for number theory with his theorems
History of Mathematics,Key Developments,Renaissance,The refinement of algebraic equations helped develop early calculus concepts
History of Mathematics,Key Developments,Renaissance,Andreas Vesalius used mathematical proportions in human anatomy studies
History of Mathematics,Key Developments,Renaissance,Optical studies and lens mathematics improved telescope and microscope designs
History of Mathematics,Key Developments,Renaissance,Mathematical analysis was applied to military strategy and ballistics
History of Mathematics,Key Developments,Renaissance,Algebraic solutions expanded to include quartic equations beyond cubic equations
History of Mathematics,Key Developments,Renaissance,The study of mathematical infinities began to emerge with paradoxes and limits
History of Mathematics,Key Developments,Renaissance,Mathematical techniques were developed to calculate land area and surveying measurements
History of Mathematics,Key Developments,Renaissance,Navigation tables and mathematical charts improved global exploration and trade
Modern Mathematics,Pure Mathematics,Natural,The study of prime numbers has led to deep insights into number theory and cryptography
Modern Mathematics,Pure Mathematics,Natural,Set theory provides the foundation for modern mathematical structures and logical reasoning
Modern Mathematics,Pure Mathematics,Natural,Topology explores properties of space that remain unchanged under continuous transformations
Modern Mathematics,Pure Mathematics,Natural,Mathematical logic studies the principles of valid reasoning and formal proofs
Modern Mathematics,Pure Mathematics,Natural,Real analysis investigates properties of real numbers. sequences. and functions
Modern Mathematics,Pure Mathematics,Natural,Abstract algebra examines algebraic structures like groups. rings. and fields
Modern Mathematics,Pure Mathematics,Natural,Differential geometry applies calculus to curves. surfaces. and higher-dimensional spaces
Modern Mathematics,Pure Mathematics,Natural,Graph theory studies relationships between objects connected by edges
Modern Mathematics,Pure Mathematics,Natural,Number theory explores patterns and properties of integers and prime numbers
Modern Mathematics,Pure Mathematics,Natural,Combinatorics investigates counting. arrangement and combination principles
Modern Mathematics,Pure Mathematics,Natural,Measure theory generalizes integration concepts beyond elementary calculus
Modern Mathematics,Pure Mathematics,Natural,Category theory provides a unifying framework for various mathematical structures
Modern Mathematics,Pure Mathematics,Natural,Functional analysis studies vector spaces and operators in infinite dimensions
Modern Mathematics,Pure Mathematics,Natural,Algebraic geometry connects algebraic equations with geometric structures
Modern Mathematics,Pure Mathematics,Natural,Probability theory models uncertainty and randomness in various natural phenomena
Modern Mathematics,Pure Mathematics,Natural,Mathematical optimization finds the best solution among a set of feasible options
Modern Mathematics,Pure Mathematics,Natural,The study of fractals reveals self-similar structures in nature and mathematics
Modern Mathematics,Pure Mathematics,Natural,Game theory mathematically analyzes strategic interactions between rational agents
Modern Mathematics,Pure Mathematics,Natural,Ergodic theory explores the statistical properties of dynamical systems
Modern Mathematics,Pure Mathematics,Natural,Dynamical systems theory studies how mathematical systems evolve over time
Modern Mathematics,Pure Mathematics,Natural,Homotopy theory examines the continuous deformation of mathematical spaces
Modern Mathematics,Pure Mathematics,Natural,Probability distributions describe how random variables behave under different conditions
Modern Mathematics,Pure Mathematics,Natural,Harmonic analysis studies wave-like functions and Fourier series
Modern Mathematics,Pure Mathematics,Natural,Transcendental number theory investigates numbers that are not algebraic
Modern Mathematics,Pure Mathematics,Natural,Algebraic topology applies algebraic methods to study topological spaces
Modern Mathematics,Pure Mathematics,Natural,Recursion theory examines computability and the limits of algorithmic processes
Modern Mathematics,Pure Mathematics,Natural,Differential topology studies smooth manifolds and their transformations
Modern Mathematics,Pure Mathematics,Natural,Galois theory explores the relationship between polynomial equations and symmetry
Modern Mathematics,Pure Mathematics,Natural,Mathematical structures such as lattices help define ordered relationships
Modern Mathematics,Pure Mathematics,Natural,Infinity and its paradoxes continue to challenge mathematical understanding
Modern Mathematics,Pure Mathematics,Natural,The study of chaos theory reveals unpredictable behavior in deterministic systems
Modern Mathematics,Pure Mathematics,Special Numbers,Prime numbers are natural numbers greater than 1 with only two divisors: 1 and themselves
Modern Mathematics,Pure Mathematics,Special Numbers,Composite numbers have more than two divisors and are the opposite of prime numbers
Modern Mathematics,Pure Mathematics,Special Numbers,Perfect numbers are equal to the sum of their proper divisors such as 6 and 28
Modern Mathematics,Pure Mathematics,Special Numbers,Fibonacci numbers form a sequence where each term is the sum of the two preceding ones
Modern Mathematics,Pure Mathematics,Special Numbers,Triangular numbers represent sums of consecutive natural numbers. forming triangular patterns
Modern Mathematics,Pure Mathematics,Special Numbers,Square numbers are obtained by multiplying an integer by itself such as 1 4 9 and 16
Modern Mathematics,Pure Mathematics,Special Numbers,Cube numbers result from raising integers to the power of three. like 1 and 8 and 27
Modern Mathematics,Pure Mathematics,Special Numbers,Irrational numbers cannot be expressed as fractions such as π and √2
Modern Mathematics,Pure Mathematics,Special Numbers,Transcendental numbers are not roots of any nonzero polynomial equation with rational coefficients
Modern Mathematics,Pure Mathematics,Special Numbers,Algebraic numbers are roots of polynomial equations with integer coefficients
Modern Mathematics,Pure Mathematics,Special Numbers,Golden ratio (φ) is an irrational number approximately equal to 1.618 and appears in nature and art
Modern Mathematics,Pure Mathematics,Special Numbers,Euler's number (e) is a fundamental constant in calculus. approximately 2.718
Modern Mathematics,Pure Mathematics,Special Numbers,Imaginary numbers involve the square root of negative one and form the basis of complex numbers
Modern Mathematics,Pure Mathematics,Special Numbers,Complex numbers combine real and imaginary components in the form a + bi
Modern Mathematics,Pure Mathematics,Special Numbers,Catalan numbers appear in combinatorial problems involving recursive structures
Modern Mathematics,Pure Mathematics,Special Numbers,Mersenne primes are prime numbers of the form 2^p - 1. where p is a prime number
Modern Mathematics,Pure Mathematics,Special Numbers,Pell numbers follow a recurrence relation similar to Fibonacci numbers
Modern Mathematics,Pure Mathematics,Special Numbers,Harshad numbers are divisible by the sum of their own digits
Modern Mathematics,Pure Mathematics,Special Numbers,Kaprekar numbers have a unique property where splitting their square forms the original number
Modern Mathematics,Pure Mathematics,Special Numbers,Armstrong numbers (or narcissistic numbers) have digits that sum to their own powers
Modern Mathematics,Pure Mathematics,Special Numbers,Happy numbers eventually reach 1 when replacing a number with the sum of the squares of its digits
Modern Mathematics,Pure Mathematics,Special Numbers,Lucas numbers follow a sequence similar to Fibonacci but with different starting values
Modern Mathematics,Pure Mathematics,Special Numbers,Repunit numbers consist entirely of ones such as 1 11 111 and 1111
Modern Mathematics,Pure Mathematics,Special Numbers,Amicable numbers are pairs of numbers where each is the sum of the proper divisors of the other
Modern Mathematics,Pure Mathematics,Special Numbers,Sophie Germain primes satisfy the condition that 2p + 1 is also prime
Modern Mathematics,Pure Mathematics,Special Numbers,Superperfect numbers satisfy an extended divisor sum property beyond perfect numbers
Modern Mathematics,Pure Mathematics,Special Numbers,Taxicab numbers represent the smallest integers expressible as sums of two cubes in multiple ways
Modern Mathematics,Pure Mathematics,Special Numbers,Highly composite numbers have more divisors than any smaller positive integer
Modern Mathematics,Pure Mathematics,Special Numbers,Deficient numbers have a sum of proper divisors smaller than themselves
Modern Mathematics,Pure Mathematics,Special Numbers,Abundant numbers have a sum of proper divisors greater than themselves
Modern Mathematics,Pure Mathematics,Special Numbers,Keith numbers appear as digits of their own recurrence sequences
Modern Mathematics,Pure Mathematics,Infinite Sets,An infinite set is a set with an uncountable or countable number of elements
Modern Mathematics,Pure Mathematics,Infinite Sets,Countably infinite sets have elements that can be put in one-to-one correspondence with natural numbers
Modern Mathematics,Pure Mathematics,Infinite Sets,Uncountably infinite sets are larger than countable ones such as the set of real numbers
Modern Mathematics,Pure Mathematics,Infinite Sets,The set of natural numbers is an example of a countably infinite set
Modern Mathematics,Pure Mathematics,Infinite Sets,The set of integers is countably infinite despite including negative numbers
Modern Mathematics,Pure Mathematics,Infinite Sets,The set of rational numbers is countably infinite since they can be arranged in a sequence
Modern Mathematics,Pure Mathematics,Infinite Sets,The set of real numbers is uncountably infinite because it cannot be listed in a sequence
Modern Mathematics,Pure Mathematics,Infinite Sets,Cantor's diagonal argument proves that real numbers are uncountably infinite
Modern Mathematics,Pure Mathematics,Infinite Sets,The power set of an infinite set is always of greater cardinality than the original set
Modern Mathematics,Pure Mathematics,Infinite Sets,The set of algebraic numbers is countably infinite but the set of transcendental numbers is uncountable
Modern Mathematics,Pure Mathematics,Infinite Sets,The continuum hypothesis explores whether there is an infinite set whose cardinality is strictly between the natural and real numbers
Modern Mathematics,Pure Mathematics,Infinite Sets,The cardinality of countably infinite sets is denoted by aleph null
Modern Mathematics,Pure Mathematics,Infinite Sets,The cardinality of the real numbers is denoted by the cardinality of the continuum
Modern Mathematics,Pure Mathematics,Infinite Sets,An infinite set remains infinite even after removing a finite number of elements
Modern Mathematics,Pure Mathematics,Infinite Sets,Infinite subsets of an infinite set can have the same or smaller cardinality as the original set
Modern Mathematics,Pure Mathematics,Infinite Sets,Zeno’s paradoxes deal with infinite divisions of space and time
Modern Mathematics,Pure Mathematics,Infinite Sets,Hilbert’s Hotel Paradox illustrates the counterintuitive nature of infinite sets
Modern Mathematics,Pure Mathematics,Infinite Sets,Infinite geometric series can converge to a finite value under specific conditions
Modern Mathematics,Pure Mathematics,Infinite Sets,The concept of infinity is fundamental to set theory and real analysis
Modern Mathematics,Pure Mathematics,Infinite Sets,Dedekind infinite sets are those that can be mapped onto a proper subset of themselves
Modern Mathematics,Pure Mathematics,Infinite Sets,The set of points on a line segment has the same cardinality as the entire real number line
Modern Mathematics,Pure Mathematics,Infinite Sets,The set of all subsets of a countably infinite set is uncountably infinite
Modern Mathematics,Pure Mathematics,Infinite Sets,Fractal geometry deals with self similar infinite structures
Modern Mathematics,Pure Mathematics,Infinite Sets,The axiom of choice is often used to analyze infinite sets and their properties
Modern Mathematics,Pure Mathematics,Infinite Sets,Mathematical induction is commonly applied to proofs involving countable infinity
Modern Mathematics,Pure Mathematics,Infinite Sets,Measure theory helps define the size of infinite sets in terms of probability and integration
Modern Mathematics,Pure Mathematics,Infinite Sets,Different sizes of infinity exist such as aleph null for natural numbers and the cardinality of the continuum for real numbers
Modern Mathematics,Pure Mathematics,Infinite Sets,The Banach Tarski paradox demonstrates how infinite sets behave under certain transformations
Modern Mathematics,Pure Mathematics,Infinite Sets,Topology studies infinite sets with respect to open and closed sets in mathematical spaces
Modern Mathematics,Pure Mathematics,Algebra,Algebra is a branch of mathematics dealing with symbols and the rules for manipulating these symbols
Modern Mathematics,Pure Mathematics,Algebra,The study of algebra involves solving equations and understanding mathematical structures
Modern Mathematics,Pure Mathematics,Algebra,Linear algebra focuses on vector spaces and linear mappings between them
Modern Mathematics,Pure Mathematics,Algebra,Abstract algebra explores algebraic structures such as groups rings and fields
Modern Mathematics,Pure Mathematics,Algebra,Polynomial algebra studies expressions involving variables and coefficients
Modern Mathematics,Pure Mathematics,Algebra,Boolean algebra deals with binary variables and logical operations
Modern Mathematics,Pure Mathematics,Algebra,The fundamental theorem of algebra states that every non constant polynomial has at least one complex root
Modern Mathematics,Pure Mathematics,Algebra,Group theory studies the algebraic structure of groups which are sets equipped with a single associative operation
Modern Mathematics,Pure Mathematics,Algebra,Field theory investigates the properties of fields which are algebraic structures supporting addition multiplication and division
Modern Mathematics,Pure Mathematics,Algebra,Ring theory studies rings which are algebraic structures that generalize fields but do not require multiplicative inverses
Modern Mathematics,Pure Mathematics,Algebra,Vector spaces are fundamental in linear algebra and have applications in physics and computer science
Modern Mathematics,Pure Mathematics,Algebra,Algebraic geometry studies solutions to polynomial equations using geometric methods
Modern Mathematics,Pure Mathematics,Algebra,Commutative algebra focuses on commutative rings and their ideals
Modern Mathematics,Pure Mathematics,Algebra,Homological algebra studies algebraic structures using chain complexes and homology
Modern Mathematics,Pure Mathematics,Algebra,Representation theory examines how algebraic structures act on vector spaces
Modern Mathematics,Pure Mathematics,Algebra,The concept of an algebraic equation involves unknowns and constants connected by operations
Modern Mathematics,Pure Mathematics,Algebra,Galois theory connects field theory with group theory and explains the solvability of polynomial equations
Modern Mathematics,Pure Mathematics,Algebra,Quadratic equations can be solved using the quadratic formula which involves square roots
Modern Mathematics,Pure Mathematics,Algebra,Diophantine equations involve integer solutions and have been studied since ancient times
Modern Mathematics,Pure Mathematics,Algebra,Symmetry in algebra is often analyzed using group theory
Modern Mathematics,Pure Mathematics,Algebra,Noetherian rings are important in abstract algebra and are named after Emmy Noether
Modern Mathematics,Pure Mathematics,Algebra,Matroid theory generalizes the concept of linear independence in vector spaces
Modern Mathematics,Pure Mathematics,Algebra,Universal algebra studies common properties of various algebraic structures
Modern Mathematics,Pure Mathematics,Algebra,Algebraic topology applies algebraic methods to study topological spaces
Modern Mathematics,Pure Mathematics,Algebra,Graph theory has connections to algebra particularly in adjacency matrices and eigenvalues
Modern Mathematics,Pure Mathematics,Algebra,Multilinear algebra generalizes linear algebra to multiple dimensions
Modern Mathematics,Pure Mathematics,Algebra,The study of algebraic curves involves equations defining curves in a coordinate system
